conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25a7fc25-f2fc-4bfd-9999-943c03d53372,skill/competence,cross-sector,protect client interests,,"Protect the interests and needs of a client by taking necessary actions, and researching all possibilities, to ensure that the client obtains their favored outcome."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25ac3483-c459-4c46-8e6a-3f644a1d34a3,skill/competence,cross-sector,bolt engine parts,,Securely bolt together engine components manually or using power tools.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,skill/competence,sector-specific,use concurrent programming,,"utilize specialized ICT tools to create programs that can execute concurrent operations by splitting programs into parallel processes and, once computed, combining the outcomes together."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b480dc-ece5-4b7e-9380-599f13fe9056,skill/competence,cross-sector,implement transport strategy,,Anticipate company requirements and goals in terms of transport strategy; use this as a base to take actions to implement the strategy.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b58d00-fb49-4219-8970-c79270d51290,knowledge,cross-sector,wicker materials,,"Wicker is woven fiber forming a stiff structure that is used for wicker furniture such as chairs, tables and couches. Various materials can be used for different purposes and aesthetic effects such as willow branches, rattan, cane or bamboo. Sometimes, plastic fibers are used as well."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b746af-fb4e-41fc-9975-a74d73627cfe,skill/competence,sector-specific,recommend clothing according to customer's measurements,,recommend and provide advice on clothing items to customers in accordance to their measurements and size for clothes.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b762be-23eb-4165-aa05-64663de3e654,skill/competence,sector-specific,assist in performing physical exercises,,Prescribe and assist physical exercises to help increase strength and dexterity.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25b973c6-68ea-4ff7-bd26-aa76bd08b62a,knowledge,cross-sector,hydraulic fluid,,"The various types, qualities and applications of hydraulic fluids used in metalworking processes such as forging and molding, consisting out of mineral oils and water."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25bd8287-a5e9-4378-abff-a09d0a637604,skill/competence,cross-sector,read gas meter,,"Read gas measuring meter, recording the relevant information such as the amounts of gas dispensed and received."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25bf3f6d-740f-48c3-ae8b-5709595cf71b,skill/competence,sector-specific,give shiatsu massages,,"Perform massages on clients to reduce their stress and pain according to the shiatsu principles, based on the theoretical framework of traditional Chinese medicine."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25c0b413-f474-42fa-be01-20289d2634c4,skill/competence,cross-sector,deal with arrivals in accommodation,,"Handle arrivals, guest's luggage, check-in clients in line with company standards and local legislation ensuring high levels of customer service."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25c2379e-9cfe-4479-9e1d-9d3444df7a36,skill/competence,sector-specific,promote equality in sport activities,,"Develop policies and programs that aim to increase the participation and involvement of underrepresented groups in sport, such as women and girls, ethnic minority groups, disabled people and, in some cases, young people."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25c4cb91-d64b-48d1-a350-3527334a360d,knowledge,cross-sector,precision engineering,,"Engineering discipline related to the fields of electrical engineering, electronics engineering, software engineering, optical engineering, and mechanical engineering that deals with the development of apparatus with very low tolerances."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25c52a9c-08f0-4522-afd6-4b2a4e5996af,skill/competence,occupation-specific,maintain ship brightwork,,"Maintain the brightwork of ships and boats by cleaning, polishing and painting; remove garbage and repair damaged equipment."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25d168e5-ad10-42a8-9f00-9e1417c8ae36,skill/competence,sector-specific,change watch battery,,Change the batteries of customers' wrist watches.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25d8dedb-a557-441a-8aeb-2d618b79abe9,skill/competence,cross-sector,handle quotes from prospective shippers,,Evaluate the quotes fares and services offered from prospective transporters on the market.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25e16679-a7d0-464d-916c-63210001bbab,skill/competence,cross-sector,act reliably,,Proceed in a way that one can be relied on or depended on.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25ea0473-04f6-4bdc-be88-cb280142e7ca,skill/competence,cross-sector,check vehicle damage,,"Check for vehicle damage including exterior body damage, tire and wheel damage, interior damage, fuel level and mileage at time of rental and return."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25ee43a8-f9b0-4990-96cf-eabe627ff0cc,skill/competence,occupation-specific,use rental management software,,"Use rental management software to monitor aspects of the business such as finances, rentals, and bills."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,knowledge,sector-specific,data mining,,"The methods of artificial intelligence, machine learning, statistics and databases used to extract content from a dataset."
